"Playlist Date","Playlist Title","DJ ID","DJ Name",Date,Artist,Song,Release,Duration,ISRC,Released
"Oct 28, 2022","DIG:Soundtrack 2 My Life",165221,"La-Min Lin","Oct 28, 2022",Migos,"My Family (From ""The Addams Family"" Original Motion Picture Soundtrack)","My Family (From ""The Addams Family"" Original Motion Picture Soundtrack) - Single",2:57,ZZOPM1901367,2019
"Oct 28, 2022","DIG:Soundtrack 2 My Life",165221,"La-Min Lin","Oct 28, 2022","Travis Scott",goosebumps,"Birds in the Trap Sing McKnight",4:04,USSM11607565,2016
"Oct 28, 2022","DIG:Soundtrack 2 My Life",165221,"La-Min Lin","Oct 28, 2022","Playboi Carti","Stop Breathing","Whole Lotta Red",3:39,USUM72024691,2020
"Oct 28, 2022","DIG:Soundtrack 2 My Life",165221,"La-Min Lin","Oct 28, 2022","Lil Uzi Vert","Money Longer","Lil Uzi Vert Vs. The World",3:19,USAT21600660,2016
"Oct 28, 2022","DIG:Soundtrack 2 My Life",165221,"La-Min Lin","Oct 28, 2022","Chief Keef","I Dont Like","3 Hunna",4:06,USUSD1368417,2013
"Oct 28, 2022","DIG:Soundtrack 2 My Life",165221,"La-Min Lin","Oct 28, 2022","Playboi Carti","Vamp Anthem","Whole Lotta Red",2:04,USUM72024688,2020
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","David Bowie","Fascination (2016 Remastered Version)","Young Americans",5:48,USJT11600080,2016
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","David Bowie","Jump They Say (2003 Remastered Version)","Sound and Vision",4:25,USJT10300092,2007
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022",Chic,"(Funny) Bone","C'est Chic (2018 Remaster)",3:44,USRH11803276,2018
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022",Chic,"My Forbidden Lover","Risqué (2018 Remaster)",4:35,USRH11803288,2018
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Daft Punk","Voyager (Dominique Torti's Wild Style Edit)","Something About Us (Love Theme From ""Interstella 5555"") - EP",6:33,GBDUW0300008,2003
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Daft Punk","Something About Us","Something About Us (Love Theme From ""Interstella 5555"") - EP",3:53,GBDUW0000064,2003
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Animal Collective","Leaf House","Sung Tongs",2:43,GBDCA0400325,2004
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Animal Collective","Prospect Hummer","Prospect Hummer - EP",4:40,GBDCA0500443,2005
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Vashti Bunyan","Glow Worms","Just Another Diamond Day",2:16,US29D0400034,1970
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Vashti Bunyan","17 Pink Sugar Elephants","Some Things Just Stick In My Mind",1:51,GBDCA0700981,2008
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","The Avalanches","Oh The Sunn! (feat. Perry Farrell)","We Will Always Love You",2:18,AUUM72000483,2020
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","The Avalanches","Two Hearts in 3/4 Time","Since I Left You",3:24,AUMPO0000005,2001
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Public Enemy","Burn Hollywood Burn (feat. Ice Cube & Big Daddy Kane)","Fear of a Black Planet",2:48,USDJ29000023,1990
"Oct 28, 2022","FM:Six Degrees of David Bowie",165191,"Iman Smith","Oct 28, 2022","Public Enemy","911 Is A Joke","Fear of a Black Planet",3:17,USDJ29000017,1990
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Sweet Trip",Milk,"You Will Never Know Why",4:25,USA4D0922205,2009
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Kali Uchis",Melting,"Por Vida",3:29,QM8DG1400266,2015
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","The Smashing Pumpkins","Cupid De Locke","Mellon Collie and the Infinite Sadness (Deluxe Edition)",2:50,USVI21200901,2012
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022",Panchiko,D>E>a>T>H>M>E>T>a>L,D>E>a>T>H>M>E>T>a>L,4:22,GBEF30000001,2000
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Cocteau Twins","Pearly-Dewdrops’ Drops (7"" Version)","The Pink Opaque",4:11,GBAFL8400091,1986
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Sam Gellaitry",Assumptions,"IV - EP",3:41,GBAYE2100388,2021
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Illiterate Light","Better Than I Used To","Illiterate Light",4:18,USAT21903507,2019
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","The B-52's",Topaz,"Cosmic Thing",4:21,USRE19900483,1989
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Cullen Omori","Master Eyes","The Diet",4:10,USSUB1823405,2018
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Angel Olsen",Spring,"All Mirrors",3:23,US38Y1934405,2019
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Dead or Alive","Far Too Hard","Sophisticated Boom Boom",4:31,GBBBM9999949,1983
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","The B-52's","Give Me Back My Man","Wild Planet",4:01,USWB11400592,1980
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022","Yves Tumor","Super Stars","Heaven To a Tortured Mind",3:06,GBBPW1900283,2020
"Oct 28, 2022","FM:wall of sound",165200,"Cecilia Hu","Oct 28, 2022",Crumb,"Ice Melt","Ice Melt",2:29,QMB622100310,2021
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","Beach Fossils","Saint Ivy",Somersault,3:44,QM6YT1701403,2017
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022",RITCHRD,Paris,"Tape Cinco",1:17,QZDA71847622,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022",beabadoobee,Coffee,"Coffee - Single",2:07,GBK3W1800819,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022",yasuha,"Fly-day Chinatown","Fly-day Chinatown - Single",3:28,JPPO08100570,1981
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022",Illuminate,"Bae City","New Groove",3:50,QZAPG1848292,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022",VROMANCE,She,"The Action - EP",3:37,KRA381601317,2016
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","Tom Misch","Lost In Paris (feat. GoldLink)",Geography,3:14,GBKPL1791000,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","Tom Misch","Disco Yes (feat. Poppy Ajudha)",Geography,4:41,GBKPL1790990,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","Tom Misch","It Runs Through Me (feat. De La Soul)",Geography,4:22,GBKPL1790989,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","The Internet","Come Together","Hive Mind",3:41,USSM11804478,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","Lianne La Havas","Bittersweet (Radio Edit)","Bittersweet (Radio Edit) - Single",3:57,GBAHT2000114,2021
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022",Discoholic,"Liftoff (feat. Matthew Clanton)","Discoholics Anonymous",3:36,QM42K1842356,2022
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","Michael Medrano","Do Your Thing, Babe! (Dance Floor Version)","Do Your Thing, Babe! - Single",3:58,QZFYZ2297218,2022
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022",Sonder,"One Night Only","One Night Only - Single",3:16,QM24S1801024,2018
"Oct 28, 2022","FM:Halcyon Days",164759,ARI,"Oct 28, 2022","Kevin Ross","Looking For Love","Drive 2",3:12,USUYG1377520,2021
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022","The Emotions","Best of My Love",Rejoice,3:41,USSM17700716,1977
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022","Talking Heads","Psycho Killer","Talking Heads '77",4:21,USWB19900858,1977
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022",Queen,"We Are the Champions","News of the World",2:59,GBUM71029619,2014
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022",Queen,"We Will Rock You","News of the World",2:01,GBUM71029618,2014
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022","Bee Gees","How Can You Mend a Broken Heart",Trafalgar,3:58,GBAKW7101044,1971
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022","David Bowie","Heroes (Remastered)","The Best of David Bowie 1974-79",3:33,USJT10500037,1998
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022","Fleetwood Mac",Rhiannon,"Fleetwood Mac",4:13,USWB19900188,1975
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022","Fleetwood Mac",Dreams,Rumours,4:18,USWB10400046,2004
"Oct 28, 2022","FM:Memory Lane",164952,"Madoka Minagawa","Oct 28, 2022","Fleetwood Mac","The Chain",Rumours,4:30,USWB10400053,2004
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Hoba Hoba Spirit",Tiqar,Trabando,3:53,USTC80972274,2007
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Hoba Hoba Spirit",Fhamator,Trabando,2:36,USTC80971988,2007
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Hoba Hoba Spirit","Super Caid",Trabando,3:01,USTC80972251,2007
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Joyce Manor","Catalina Fight Song","Never Hungover Again",1:05,USEP41408019,2014
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Slow Pulp",Preoccupied,"Ep2 - EP",3:20,TCADC1778165,2017
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Deer Tick","Baltimore Blues No. 1","War Elephant",3:01,USME31000087,2008
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Nina Simone",Baltimore,Baltimore,4:39,USSM10024517,1978
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Ebo Taylor","Love and Death","Life Stories",8:18,DEG931150283,1977
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Ulrika Spacek","Freudian Slip","Suggestive Listening - EP",2:49,QMDA61825581,2018
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Dry Cleaning","Her Hippo","New Long Leg",4:38,GBAFL2000423,2021
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Dry Cleaning","Don't Press Me",Stumpwork,1:50,GBAFL2200093,2022
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022",Cranes,Everywhere,Forever,3:41,GBARL9300282,1993
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Teenage Fanclub","Sparky's Dream","Grand Prix",3:17,USWWW0202295,1995
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","The Blue Nile","The Downtown Lights",Hats,6:31,GBAAA1200709,1989
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","The Dears","Lost in the Plot","No Cities Left",4:50,CA71A1500082,2003
"Oct 28, 2022",FM:Brouhaha,164783,"Soraya Abediyeh","Oct 28, 2022","Trashcan Sinatras","Obscurity Knocks",Cake,4:13,GBAKW8901040,1990
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Dead Kennedys",Halloween,2001,3:35,,
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Kid Rock","All Summer Long","All Summer Long - Single",4:57,USAT20704333,2008
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Lynyrd Skynyrd","Sweet Home Alabama","Endangered Species",4:01,USVR10200071,1994
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Warren Zevon","Werewolves of London","A Quiet Normal Life - The Best of Warren Zevon",3:28,USEE19901101,1986
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","The Black Keys","Howlin' for You",Brothers,3:12,USNO11200139,2010
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Arctic Monkeys","Perhaps Vampires Is a Bit Strong But…","Whatever People Say I Am, That's What I'm Not",4:31,GBCEL0501189,2006
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Talking Heads","Psycho Killer","Talking Heads '77",4:21,USWB19900858,1977
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Little Nell, Patricia Quinn & Richard O'Brien","Time Warp","The Rocky Horror Picture Show (Soundtrack from the Motion Picture)",3:19,USA560853992,1989
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","The Cranberries",Zombie,"No Need To Argue (Remastered 2020)",5:08,USUM72009888,2020
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Franz Ferdinand","Evil Eye","Hits to the Head",2:46,GBCEL2100530,2022
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Blue Öyster Cult","(Don't Fear) The Reaper","A Long Day's Night",8:12,GBAJE0200989,2002
"Oct 27, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Oct 28, 2022","Michael Jackson",Thriller,Thriller,5:58,USSM19902989,1982
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 28, 2022",Dehd,"Fire of Love","Fire of Love - EP",3:21,US4NP1700006,2017
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022",Wednesday,Gary's,"Twin Plagues",2:12,FR96X2163994,2021
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","Neko Case","I Wish I Was the Moon","Wild Creatures",3:35,USA360309911,2022
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022",Tenci,"Forgot My Horse's Name","My Heart Is an Open Field",2:38,QZFZ41977447,2020
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","Lucy Dacus","Yours & Mine",Historian,5:14,USMTD1810673,2018
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","Phoebe Bridgers","Graceland Too",Punisher,3:56,USJ5G2020010,2020
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","Cut Worms","Veteran's Day","Nobody Lives Here Anymore",5:41,US38Y2035908,2020
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","Big Thief","12,000 Lines","Dragon New Warm Mountain I Believe In You",3:00,GBAFL2100218,2022
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","Car Seat Headrest","Deadlines (Hostile)","Making a Door Less Open",4:21,USMTD2000016,2020
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022",Mitski,"Washing Machine Heart","Be the Cowboy",2:08,USJ5G1815012,2018
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022",SASAMI,"The Greatest",Squeeze,3:20,GBCEL2100430,2022
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","SPIRIT OF THE BEEHIVE","WRONG CIRCLE","ENTERTAINMENT, DEATH",2:52,US2U62032203,2021
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022","Kim Gordon","Murdered Out","No Home Record",3:34,USMTD1608704,2019
"Oct 27, 2022","FM:Caution: Wet Paint",164729,"Nathan Steighner","Oct 27, 2022",Crumb,Balloon,"Ice Melt",3:06,QMB622100308,2021
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Angelo Badalamenti","The Pink Room","Twin Peaks: Fire Walk With Me (Soundtrack from the Motion Picture)",4:06,USWB19904043,1989
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Yoko Ono","Yes, I'm a Witch","Yes, I'm a Witch",3:49,USCN30600135,2007
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","David Bowie","Scary Monsters (And Super Creeps) [2017 Remastered Version]","Scary Monsters (And Super Creeps) [2017 Remaster]",5:13,USJT11700055,1980
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Blue Öyster Cult",Nosferatu,Spectres,5:21,USSM19917728,1977
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Xiu Xiu","Queen of the Losers",Forget,4:23,US3R41732702,2016
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Mazzy Star","Ghost Highway","She Hangs Brightly",3:28,USCA29000617,1990
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Oingo Boingo","No One Lives Forever","Best O' Boingo",4:06,USMC18518682,1991
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Cocteau Twins",Persephone,Treasure,4:20,GBAFL8400059,1984
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022","Kate Bush","Get Out of My House","The Dreaming",5:25,GBCNR8200010,1982
"Oct 27, 2022","FM:Bed Bugs",164729,"Nathan Steighner","Oct 27, 2022",Goblin,Suspiria,"Suspiria (40th Anniversary) [Original Motion Picture Soundtrack]",6:02,ITC047701327,2017
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","The Avalanches","Frontier Psychiatrist","Since I Left You (20th Anniversary Deluxe Edition)",4794:53,,
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","Charli XCX","party 4 u","how i'm feeling now",4:57,GBAHS2000219,2020
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","The Brian Jonestown Massacre",Anemone,"Their Satanic Majesties' Second Request",5:34,GBSLX0810071,2008
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","Childish Gambino",Bonfire,Camp,3:13,USYAH1100339,2011
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022",Mitski,"Class Of 2013","Retired from Sad, New Career in Business",1:50,USHM81309669,2013
"Oct 27, 2022","DIG:Nervous Child Collective",164925,"Nervous Child Collection","Oct 27, 2022","Nick Drake","From the Morning","Digital Box Set",2:30,GBAAN7200020,2010
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","The Olivia Tremor Control","NYC - 25","Music From The Unrealized Film Script: Dusk At Cubist Castle",4:38,USG590610076,2004
"Oct 27, 2022","DIG:Nervous Child Collective",164925,"Nervous Child Collection","Oct 27, 2022","Nick Drake",Parasite,"Digital Box Set",3:34,GBAAN7200037,2010
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","Alex G",Salt,"Beach Music",4661:18,,
"Oct 27, 2022","DIG:Nervous Child Collective",164925,"Nervous Child Collection","Oct 27, 2022","Nick Drake",Horn,"Digital Box Set",1:21,GBAAN7200035,2010
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","Xiu Xiu","Get Up",FORGET,4991:56,,
"Oct 27, 2022","DIG:Nervous Child Collective",164925,"Nervous Child Collection","Oct 27, 2022","Nick Drake","Place to Be","Digital Box Set",2:41,GBAAN7200033,2010
"Oct 27, 2022","DIG:Nervous Child Collective",164925,"Nervous Child Collection","Oct 27, 2022","Nick Drake","Pink Moon","Pink Moon ((Remastered))",2:03,GBAAN7200021,1972
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","Death Grips","Billy Not Really","The Powers That B",3813:01,,
"Oct 27, 2022",FM:GASLIT,164838,"Molly Szymanski","Oct 27, 2022","100 gecs,Laura Les,Dylan Brady","stupid horse","1000 gecs",2028:01,,
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022",Anadol,"Görünmez Hava","Uzun Havalar",8:42,DEDX61900003,2019
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","Joan Jett & the Blackhearts","Season of the Witch","Season of the Witch (From the Netflix Series The Sons of Sam: A Descent Into Darkness) - Single",5:03,USBH10420041,2004
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","LA WITCH",firestarter,"play with fire",,,
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022","YASUAKI SHIMIZU","Umi No Ue Kara",Kakashi,8:19,QMBZB1788507,2017
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","Kepi Ghoulie","Graveyard Girlfriend (Rerecorded Version)","Re-Animation Festival (Rerecorded Version)",2:26,USKEP1900002,1997
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","Le Tigre",Phanta,"Le Tigre",3:15,GBBKT9900057,1999
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022","Haruomi Hosono","SPORTS MEN (2018 Yoshinori Sunahara Remastering)",1978,4:05,,
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022","Gene Sikora","A Song for Mary","You're Not from Around Here",2:32,USCW61910301,2019
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022",Hole,"Jennifer's Body","Live Through This",3:41,USGF19963105,1994
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022","Bailey's Nervous Kats","First Love","The Nervous Kats",2:20,USCW61705703,2017
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","T Rex","Ballrooms of Mars","The Slider",4:08,GBAFR7200151,2007
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022","Belle and Sebastian","Waiting for the Moon to Rise","Fold Your Hands Child You Walk Like a Peasant",3:13,GBCAX0002504,2000
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","Mazzy Star","Ghost Highway","She Hangs Brightly",3:28,USCA29000617,1990
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","The Cramps","I was a Teenage Werewolf","Songs the Lord Taught Us",3:04,USIR38900032,1998
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022",Antena,"Seaside Weekend","Camino del Sol",3:18,USTC10607747,1982
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","The Regrettes","Dress Up","How Do You Love?",2:50,USWB11900789,2019
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022",Antena,"Groovy Grooving Grove","Toujours Du Soliel",4:08,,
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022",Bratmobile,"Gimme Brains","Ladies, Women and Girls",2:17,USA371597929,2000
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022",Isadora,Caminando,Isadora,2:48,QM4TW1759130,2017
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","Jefferson Airplane","White Rabbit","Surrealistic Pillow (2003 Bonus Track Edition)",2:31,USRC10301017,2003
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","Cage the Elephant",Spiderhead,Melophobia,3:43,USRC11301161,2013
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022","Rose McDowall",Tibet,"Cut With the Cake Knife",3:15,US5NR1501701,2015
"Oct 27, 2022","FM:insufferable art house cinema soundtrack",163178,"Jack Landau","Oct 27, 2022",Arp,"New Pleasures","New Pleasures",4:47,QMV8L1928602,2022
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022",Wallows,"Pulling Leaves off Trees","Pulling Leaves off Trees - Single",3:50,USAT21801167,2018
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","The Misfits","Hybrid Moments","The Misfits Box Set",1:42,USCN39500058,1996
"Oct 27, 2022","DIG:The girl playlist",164954,"Molly Williams","Oct 27, 2022","The Bangles","Hazy Shade of Winter","The Essential Bangles",2:47,USSM19802609,1981
"Oct 27, 2022","DIG: Femcel Radio",168884,"Carly Burns","Oct 27, 2022","Daddy Issues","Riot Grrrl","Fuck Marry Kill",2:40,GBSMU2429264,2015
"Oct 27, 2022","DIG: Femcel Radio",168884,"Carly Burns","Oct 27, 2022","The Beatles",Girl,"The Beatles 1962-1966 (The Red Album)",2:32,GBAYE0601487,2010
"Oct 27, 2022","DIG: Femcel Radio",168884,"Carly Burns","Oct 27, 2022","Cage the Elephant","Right Before My Eyes (Unpeeled)",Unpeeled,4:40,USRC11701307,2017
"Oct 27, 2022","DIG: Femcel Radio",168884,"Carly Burns","Oct 27, 2022","Lord Huron","The Night We Met","Strange Trails",3:28,US53Q1200103,2015
"Oct 27, 2022","DIG: Femcel Radio",168884,"Carly Burns","Oct 27, 2022","Lana Del Rey","This Is What Makes Us Girls","Born to Die",4:00,GBUM71111605,2012
"Oct 27, 2022","DIG: Femcel Radio",168884,"Carly Burns","Oct 27, 2022","Michael Cera","Clay Pigeons","True That",3:06,TCACK1587301,2014
"Oct 27, 2022","DIG: Femcel Radio",168884,"Carly Burns","Oct 27, 2022","The Runaways","Cherry Bomb","20th Century Masters - The Millennium Collection: The Best of The Runaways",2:18,USIR20200576,2005
